climate_variable,avg_sig_corr,max_sig_corr,sig_corr_count,sig_corr_ratio(%)
climate_risk_drought_max_90d_above_2_std_lag_7d,0.596,0.606,2,0.089
climate_risk_drought_ma_120d_above_2_std_lag_7d,0.594,0.741,33,1.505
climate_risk_drought_ma_14d_above_2_std_lag_7d,0.592,0.673,14,0.624
climate_risk_drought_ma_30d_above_2_std_lag_7d,0.585,0.709,29,1.322
climate_risk_drought_ma_90d_above_2_std_lag_7d,0.584,0.698,29,1.312
climate_risk_drought_ma_60d_above_2_std_lag_7d,0.578,0.672,31,1.414
climate_risk_heat_stress_ma_90d_above_2_std_lag_7d,0.569,0.635,5,0.654
climate_risk_excess_precip_score_country_mean_above_2_std_lag_7d,0.565,0.65,4,0.178
climate_risk_heat_stress_ma_60d_above_2_std_lag_7d,0.562,0.579,3,0.41
climate_risk_excess_precip_score_country_std_above_2_std_lag_7d,0.562,0.596,2,0.089
climate_risk_drought_ma_240d_above_2_std_lag_7d,0.557,0.647,43,1.916
climate_risk_drought_max_120d_above_2_std_lag_7d,0.555,0.566,2,0.089
climate_risk_excess_precip_ma_90d_above_2_std_lag_7d,0.554,0.62,17,0.758
climate_risk_drought_weighted_score_country_sum_log1p_above_1_std_lag_7d,0.553,0.608,20,0.898
climate_risk_drought_weighted_score_country_sum_sin_above_1_std_lag_7d,0.551,0.609,23,1.049
climate_risk_heat_stress_ma_120d_above_2_std_lag_7d,0.55,0.578,4,0.512
climate_risk_unseasonably_cold_ma_30d_above_2_std_lag_7d,0.549,0.549,1,0.128
climate_risk_drought_max_14d_above_2_std_lag_7d,0.548,0.582,13,0.593
climate_risk_unseasonably_cold_ma_90d_above_2_std_lag_7d,0.548,0.573,7,1.004
climate_risk_unseasonably_cold_ma_60d_above_2_std_lag_7d,0.544,0.572,5,0.654
climate_risk_heat_stress_max_60d_above_2_std_lag_7d,0.542,0.542,1,0.074
climate_risk_drought_weighted_score_country_sum_cos_above_1_std_lag_7d,0.541,0.613,15,0.668
climate_risk_drought_weighted_score_country_sum_ssqrt_above_1_std_lag_7d,0.54,0.586,16,0.713
climate_risk_heat_stress_score_country_mean_above_2_std_lag_7d,0.54,0.567,3,0.441
climate_risk_excess_precip_ma_120d_above_2_std_lag_7d,0.539,0.631,25,1.114
climate_risk_heat_stress_weighted_score_country_sum_above_2_std_lag_7d,0.536,0.563,3,0.392
climate_risk_excess_precip_ma_240d_above_2_std_lag_7d,0.536,0.605,23,1.025
climate_risk_heat_stress_max_240d_above_2_std_lag_7d,0.535,0.598,7,0.371
climate_risk_drought_max_240d_above_2_std_lag_7d,0.533,0.594,16,0.713
climate_risk_drought_max_30d_above_2_std_lag_7d,0.532,0.607,13,0.588
climate_risk_drought_weighted_score_country_sum_above_2_std_lag_7d,0.527,0.576,13,0.695
climate_risk_drought_score_country_mean_above_2_std_lag_7d,0.526,0.576,22,1.052
climate_risk_excess_precip_ma_30d_above_2_std_lag_7d,0.523,0.525,4,0.178
climate_risk_unseasonably_cold_max_90d_above_2_std_lag_7d,0.521,0.521,1,0.065
climate_risk_unseasonably_cold_ma_120d_above_2_std_lag_7d,0.521,0.529,5,0.654
climate_risk_unseasonably_cold_max_120d_above_2_std_lag_7d,0.521,0.521,1,0.061
climate_risk_excess_precip_weighted_score_country_sum_above_2_std_lag_7d,0.52,0.54,3,0.139
climate_risk_excess_precip_max_120d_above_2_std_lag_7d,0.519,0.551,10,0.446
climate_risk_drought_max_60d_above_2_std_lag_7d,0.518,0.554,9,0.401
climate_risk_heat_stress_max_90d_above_2_std_lag_7d,0.517,0.517,1,0.068
climate_risk_drought_max_7d_above_2_std_lag_7d,0.517,0.526,6,0.276
climate_risk_heat_stress_score_country_max_above_2_std_lag_7d,0.516,0.519,2,0.196
climate_risk_coldwave_max_240d_above_2_std_lag_7d,0.515,0.518,3,0.205
climate_risk_unseasonably_cold_max_240d_above_2_std_lag_7d,0.512,0.512,1,0.05
climate_risk_drought_ma_7d_above_2_std_lag_7d,0.506,0.511,3,0.134
climate_risk_excess_precip_max_90d_above_2_std_lag_7d,0.506,0.506,1,0.045
climate_risk_drought_score_country_max_above_2_std_lag_7d,0.505,0.507,3,0.138
climate_risk_excess_precip_score_country_max_sin,0.621,0.621,1,0.045
climate_risk_excess_precip_max_240d_cos,0.62,0.787,48,2.139
climate_risk_excess_precip_max_240d_log1p,0.611,0.8,58,2.585
climate_risk_excess_precip_max_240d_ssqrt,0.61,0.798,58,2.585
climate_risk_drought_ma_240d_tangent,0.591,0.722,55,2.451
climate_risk_excess_precip_max_240d_thresh_mag,0.59,0.745,64,2.852
climate_risk_drought_ma_240d_ssqrt,0.589,0.727,54,2.406
climate_risk_drought_ma_240d_log1p,0.588,0.73,56,2.496
climate_risk_drought_ma_240d_cos,0.587,0.713,55,2.451
climate_risk_drought_ma_240d_sin,0.586,0.73,57,2.54
climate_risk_coldwave_max_240d_tangent,0.569,0.572,2,0.091
climate_risk_excess_precip_score_country_std_ssqrt,0.564,0.608,2,0.089
climate_risk_coldwave_ma_240d_tangent,0.561,0.586,3,0.137
climate_risk_coldwave_max_240d_ssqrt,0.554,0.628,6,0.274
climate_risk_excess_precip_ma_240d_ssqrt,0.554,0.655,77,3.431
climate_risk_excess_precip_ma_240d_cos,0.552,0.602,26,1.159
climate_risk_coldwave_ma_240d_ssqrt,0.552,0.611,7,0.319
climate_risk_drought_score_country_max_cos,0.551,0.631,15,0.668
climate_risk_coldwave_ma_240d_log1p,0.55,0.586,4,0.182
climate_risk_coldwave_ma_240d_sin,0.548,0.586,4,0.182
climate_risk_coldwave_score_country_mean_log1p,0.548,0.567,6,0.346
climate_risk_coldwave_max_240d_log1p,0.547,0.622,7,0.319
climate_risk_excess_precip_ma_240d_log1p,0.547,0.641,84,3.743
climate_risk_heat_stress_score_country_mean_thresh_mag,0.546,0.571,7,2.422
climate_risk_excess_precip_score_country_mean_sin,0.545,0.606,13,0.579
climate_risk_excess_precip_score_country_mean_cos,0.544,0.613,7,0.312
climate_risk_excess_precip_ma_240d_sin,0.544,0.636,84,3.743
climate_risk_excess_precip_ma_240d_tangent,0.543,0.631,74,3.298
climate_risk_coldwave_max_240d_sin,0.543,0.619,7,0.319
climate_risk_heat_stress_score_country_max_cos,0.543,0.55,2,0.143
climate_risk_unseasonably_cold_max_240d_cos,0.543,0.571,5,0.23
climate_risk_excess_precip_score_country_mean_log1p,0.54,0.6,14,0.624
climate_risk_unseasonably_cold_score_country_mean_ssqrt,0.538,0.556,7,0.452
climate_risk_excess_precip_score_country_max_cos,0.537,0.554,7,0.312
climate_risk_drought_max_240d_sin,0.535,0.535,1,0.045
climate_risk_drought_max_240d_log1p,0.534,0.613,30,1.337
climate_risk_drought_max_240d_cos,0.533,0.601,21,0.936
climate_risk_excess_precip_max_240d_sin,0.533,0.576,16,0.713
climate_risk_unseasonably_cold_score_country_std_ssqrt,0.532,0.553,7,0.452
climate_risk_unseasonably_cold_score_country_max_ssqrt,0.532,0.553,7,0.452
climate_risk_drought_max_240d_ssqrt,0.532,0.611,30,1.337
climate_risk_drought_score_country_max_log1p,0.532,0.579,10,0.446
climate_risk_excess_precip_score_country_max_ssqrt,0.531,0.652,7,0.312
climate_risk_excess_precip_score_country_mean_tangent,0.53,0.612,13,0.579
climate_risk_excess_precip_score_country_mean_ssqrt,0.53,0.642,14,0.624
climate_risk_drought_score_country_max_ssqrt,0.528,0.578,10,0.446
climate_risk_excess_precip_score_country_std_log1p,0.527,0.541,2,0.089
climate_risk_coldwave_max_240d_cos,0.527,0.527,2,0.091
climate_risk_drought_score_country_max_sin,0.527,0.583,8,0.357
climate_risk_drought_max_240d_thresh_mag,0.527,0.559,13,0.579
climate_risk_unseasonably_cold_score_country_mean_log1p,0.526,0.547,7,0.452
climate_risk_unseasonably_cold_score_country_mean_tangent,0.525,0.547,7,0.452
climate_risk_excess_precip_score_country_max_log1p,0.525,0.615,7,0.312
climate_risk_drought_score_country_mean_log1p,0.525,0.572,14,0.624
climate_risk_unseasonably_cold_score_country_mean_sin,0.525,0.547,7,0.452
climate_risk_drought_score_country_mean_sin,0.524,0.566,16,0.713
climate_risk_unseasonably_cold_score_country_max_tangent,0.524,0.533,5,0.323
climate_risk_drought_score_country_mean_ssqrt,0.524,0.577,10,0.446
climate_risk_drought_score_country_mean_cos,0.523,0.571,23,1.025
climate_risk_unseasonably_cold_score_country_std_tangent,0.523,0.536,6,0.388
climate_risk_unseasonably_cold_score_country_max_sin,0.522,0.536,7,0.452
climate_risk_excess_precip_score_country_std_sin,0.521,0.528,2,0.089
climate_risk_unseasonably_cold_score_country_std_sin,0.521,0.536,7,0.452
climate_risk_drought_score_country_mean_tangent,0.521,0.555,14,0.624
climate_risk_drought_max_240d_tangent,0.521,0.567,15,0.668
climate_risk_unseasonably_cold_score_country_max_log1p,0.521,0.538,8,0.517
climate_risk_unseasonably_cold_score_country_std_log1p,0.52,0.538,8,0.517
climate_risk_heat_stress_score_country_mean_cos,0.519,0.533,8,0.574
climate_risk_excess_precip_score_country_max_thresh_mag,0.517,0.535,4,0.178
climate_risk_heat_stress_score_country_mean_log1p,0.515,0.515,1,0.072
climate_risk_coldwave_ma_240d_cos,0.513,0.518,3,0.137
climate_risk_drought_score_country_max_thresh_mag,0.51,0.51,1,0.045
climate_risk_unseasonably_cold_score_country_max_cos,0.508,0.508,1,0.065
climate_risk_excess_precip_score_country_std_cos,0.507,0.51,2,0.089
climate_risk_excess_precip_score_country_std_tangent,0.507,0.51,2,0.089
climate_risk_unseasonably_cold_score_country_mean_cos,0.506,0.51,2,0.129
climate_risk_heat_stress_score_country_mean_ssqrt,0.505,0.505,1,0.072
climate_risk_unseasonably_cold_score_country_std_cos,0.505,0.505,1,0.065
climate_risk_drought_ma_14d_cos_above_3_std_lag_7d,0.609,0.686,18,0.802
climate_risk_drought_ma_7d_cos_above_3_std_lag_7d,0.567,0.597,7,0.312
climate_risk_excess_precip_ma_30d_sin_above_3_std_lag_7d,0.55,0.583,2,0.092
climate_risk_excess_precip_ma_30d_log1p_above_3_std_lag_7d,0.54,0.573,2,0.093
climate_risk_unseasonably_cold_ma_30d_cos_above_3_std_lag_7d,0.53,0.53,1,0.055
climate_risk_excess_precip_ma_30d_ssqrt_above_3_std_lag_7d,0.529,0.529,1,0.045
climate_risk_drought_ma_14d_ssqrt_above_3_std_lag_7d,0.526,0.558,12,0.556
climate_risk_unseasonably_cold_ma_30d_sin_above_3_std_lag_7d,0.525,0.525,1,0.159
climate_risk_drought_ma_14d_thresh_mag_above_3_std_lag_7d,0.522,0.537,4,0.187
climate_risk_excess_precip_max_14d_ssqrt_above_3_std_lag_7d,0.521,0.521,1,0.054
climate_risk_excess_precip_ma_30d_cos_above_3_std_lag_7d,0.518,0.531,6,0.267
climate_risk_drought_ma_14d_sin_above_3_std_lag_7d,0.516,0.524,3,0.145
climate_risk_drought_ma_14d_log1p_above_3_std_lag_7d,0.506,0.508,2,0.097
climate_risk_unseasonably_cold_ma_30d_thresh_mag_above_3_std_lag_7d,0.505,0.505,1,0.163
climate_risk_unseasonably_cold_ma_30d_log1p_above_3_std_lag_7d,0.502,0.502,1,0.163
climate_risk_coldwave_max_30d_thresh_mag_above_1_std_lag_7d,0.634,0.748,11,0.674
climate_risk_drought_ma_60d_ssqrt_above_1_std_lag_7d,0.612,0.706,43,1.916
climate_risk_drought_ma_14d_cos_above_1_std_lag_7d,0.604,0.695,18,0.802
climate_risk_drought_ma_30d_cos_above_1_std_lag_7d,0.601,0.734,41,1.827
climate_risk_drought_ma_60d_log1p_above_1_std_lag_7d,0.592,0.696,45,2.005
climate_risk_drought_ma_30d_ssqrt_above_1_std_lag_7d,0.59,0.684,35,1.56
climate_risk_drought_ma_14d_ssqrt_above_1_std_lag_7d,0.588,0.646,22,0.98
climate_risk_drought_ma_14d_log1p_above_1_std_lag_7d,0.586,0.661,26,1.159
climate_risk_drought_ma_14d_sin_above_1_std_lag_7d,0.586,0.661,26,1.159
climate_risk_excess_precip_ma_60d_cos_above_1_std_lag_7d,0.585,0.674,15,0.668
climate_risk_excess_precip_max_14d_log1p_above_1_std_lag_7d,0.584,0.598,5,0.223
climate_risk_drought_ma_30d_sin_above_1_std_lag_7d,0.584,0.685,33,1.471
climate_risk_excess_precip_ma_60d_ssqrt_above_1_std_lag_7d,0.582,0.725,45,2.005
climate_risk_drought_ma_30d_log1p_above_1_std_lag_7d,0.58,0.692,36,1.604
climate_risk_drought_max_14d_cos_above_1_std_lag_7d,0.58,0.653,18,0.802
climate_risk_heat_stress_ma_60d_sin_above_1_std_lag_7d,0.579,0.614,4,0.368
climate_risk_heat_stress_ma_60d_log1p_above_1_std_lag_7d,0.579,0.61,4,0.362
climate_risk_unseasonably_cold_max_30d_sin_above_1_std_lag_7d,0.578,0.578,1,0.063
climate_risk_heat_stress_ma_60d_cos_above_1_std_lag_7d,0.576,0.619,4,0.228
climate_risk_excess_precip_max_14d_sin_above_1_std_lag_7d,0.573,0.588,5,0.223
climate_risk_excess_precip_max_30d_log1p_above_1_std_lag_7d,0.573,0.624,17,0.758
climate_risk_excess_precip_max_30d_sin_above_1_std_lag_7d,0.569,0.633,18,0.802
climate_risk_coldwave_max_30d_cos_above_1_std_lag_7d,0.562,0.687,14,0.716
climate_risk_drought_max_7d_cos_above_1_std_lag_7d,0.559,0.589,15,0.668
climate_risk_unseasonably_cold_ma_60d_ssqrt_above_1_std_lag_7d,0.559,0.608,9,0.679
climate_risk_drought_max_14d_sin_above_1_std_lag_7d,0.559,0.675,10,0.446
climate_risk_drought_ma_7d_log1p_above_1_std_lag_7d,0.558,0.622,17,0.758
climate_risk_drought_ma_7d_sin_above_1_std_lag_7d,0.556,0.629,18,0.802
climate_risk_drought_max_7d_sin_above_1_std_lag_7d,0.555,0.636,7,0.312
climate_risk_unseasonably_cold_max_60d_thresh_mag_above_1_std_lag_7d,0.554,0.602,4,0.243
climate_risk_excess_precip_max_30d_ssqrt_above_1_std_lag_7d,0.553,0.615,15,0.668
climate_risk_unseasonably_cold_max_60d_sin_above_1_std_lag_7d,0.553,0.601,2,0.115
climate_risk_drought_ma_7d_ssqrt_above_1_std_lag_7d,0.551,0.617,13,0.579
climate_risk_drought_max_14d_ssqrt_above_1_std_lag_7d,0.551,0.599,17,0.758
climate_risk_coldwave_ma_30d_cos_above_1_std_lag_7d,0.551,0.6,6,0.307
climate_risk_coldwave_max_30d_log1p_above_1_std_lag_7d,0.551,0.589,9,0.514
climate_risk_excess_precip_ma_30d_ssqrt_above_1_std_lag_7d,0.548,0.644,37,1.649
climate_risk_drought_max_30d_sin_above_1_std_lag_7d,0.547,0.637,7,0.312
climate_risk_heat_stress_ma_60d_ssqrt_above_1_std_lag_7d,0.546,0.58,6,0.41
climate_risk_coldwave_max_30d_sin_above_1_std_lag_7d,0.546,0.586,8,0.448
climate_risk_excess_precip_ma_60d_log1p_above_1_std_lag_7d,0.545,0.623,43,1.916
climate_risk_drought_max_14d_thresh_mag_above_1_std_lag_7d,0.545,0.574,12,0.539
climate_risk_excess_precip_ma_60d_sin_above_1_std_lag_7d,0.544,0.639,34,1.515
climate_risk_drought_max_30d_ssqrt_above_1_std_lag_7d,0.544,0.662,15,0.668
climate_risk_unseasonably_cold_max_30d_log1p_above_1_std_lag_7d,0.544,0.544,1,0.063
climate_risk_excess_precip_max_60d_log1p_above_1_std_lag_7d,0.544,0.596,23,1.025
climate_risk_unseasonably_cold_max_30d_ssqrt_above_1_std_lag_7d,0.543,0.566,2,0.124
climate_risk_heat_stress_max_60d_thresh_mag_above_1_std_lag_7d,0.542,0.542,1,0.074
climate_risk_drought_max_14d_log1p_above_1_std_lag_7d,0.541,0.671,18,0.802
climate_risk_unseasonably_cold_max_60d_log1p_above_1_std_lag_7d,0.541,0.594,19,1.118
climate_risk_drought_max_30d_cos_above_1_std_lag_7d,0.54,0.708,16,0.713
climate_risk_excess_precip_max_60d_sin_above_1_std_lag_7d,0.539,0.631,26,1.159
climate_risk_drought_ma_7d_cos_above_1_std_lag_7d,0.538,0.575,14,0.624
climate_risk_drought_max_30d_thresh_mag_above_1_std_lag_7d,0.536,0.607,8,0.359
climate_risk_excess_precip_ma_14d_log1p_above_1_std_lag_7d,0.536,0.561,6,0.267
climate_risk_drought_max_7d_log1p_above_1_std_lag_7d,0.536,0.636,12,0.535
climate_risk_drought_max_7d_ssqrt_above_1_std_lag_7d,0.535,0.627,7,0.312
climate_risk_excess_precip_max_7d_sin_above_1_std_lag_7d,0.533,0.537,5,0.223
climate_risk_coldwave_max_30d_ssqrt_above_1_std_lag_7d,0.533,0.586,6,0.33
climate_risk_drought_max_30d_log1p_above_1_std_lag_7d,0.533,0.653,14,0.624
climate_risk_excess_precip_max_60d_cos_above_1_std_lag_7d,0.532,0.579,12,0.535
climate_risk_excess_precip_max_60d_ssqrt_above_1_std_lag_7d,0.532,0.563,22,0.98
climate_risk_unseasonably_cold_max_60d_cos_above_1_std_lag_7d,0.531,0.543,2,0.109
climate_risk_excess_precip_ma_14d_ssqrt_above_1_std_lag_7d,0.531,0.576,13,0.579
climate_risk_excess_precip_max_30d_cos_above_1_std_lag_7d,0.529,0.549,5,0.223
climate_risk_excess_precip_max_7d_log1p_above_1_std_lag_7d,0.529,0.533,5,0.223
climate_risk_drought_ma_30d_thresh_mag_above_1_std_lag_7d,0.527,0.568,11,0.568
climate_risk_excess_precip_ma_14d_sin_above_1_std_lag_7d,0.524,0.545,6,0.267
climate_risk_drought_ma_14d_thresh_mag_above_1_std_lag_7d,0.522,0.537,4,0.187
climate_risk_excess_precip_ma_7d_ssqrt_above_1_std_lag_7d,0.522,0.534,6,0.267
climate_risk_excess_precip_ma_30d_log1p_above_1_std_lag_7d,0.52,0.555,14,0.624
climate_risk_excess_precip_ma_30d_cos_above_1_std_lag_7d,0.519,0.531,6,0.267
climate_risk_excess_precip_ma_30d_sin_above_1_std_lag_7d,0.518,0.533,7,0.312
climate_risk_excess_precip_max_14d_ssqrt_above_1_std_lag_7d,0.518,0.534,8,0.357
climate_risk_excess_precip_max_30d_thresh_mag_above_1_std_lag_7d,0.518,0.518,1,0.045
climate_risk_excess_precip_max_7d_ssqrt_above_1_std_lag_7d,0.517,0.555,5,0.223
climate_risk_heat_stress_max_60d_sin_above_1_std_lag_7d,0.516,0.535,7,0.433
climate_risk_unseasonably_cold_max_30d_thresh_mag_above_1_std_lag_7d,0.515,0.517,2,0.134
climate_risk_unseasonably_cold_max_60d_ssqrt_above_1_std_lag_7d,0.515,0.529,5,0.288
climate_risk_unseasonably_cold_ma_30d_cos_above_1_std_lag_7d,0.515,0.515,1,0.055
climate_risk_unseasonably_cold_ma_60d_cos_above_1_std_lag_7d,0.514,0.517,2,0.104
climate_risk_unseasonably_cold_max_30d_cos_above_1_std_lag_7d,0.512,0.519,2,0.111
climate_risk_heat_stress_ma_30d_ssqrt_above_1_std_lag_7d,0.512,0.52,2,0.145
climate_risk_coldwave_ma_30d_ssqrt_above_1_std_lag_7d,0.511,0.511,1,0.073
climate_risk_unseasonably_cold_ma_60d_sin_above_1_std_lag_7d,0.507,0.507,1,0.092
climate_risk_unseasonably_cold_ma_30d_thresh_mag_above_1_std_lag_7d,0.505,0.505,1,0.163
climate_risk_coldwave_max_7d_thresh_mag_above_1_std_lag_7d,0.504,0.504,1,0.073
climate_risk_heat_stress_max_60d_ssqrt_above_1_std_lag_7d,0.504,0.507,5,0.297
climate_risk_drought_max_7d_thresh_mag_above_1_std_lag_7d,0.503,0.507,5,0.225
climate_risk_unseasonably_cold_max_14d_cos_above_1_std_lag_7d,0.503,0.503,1,0.059
climate_risk_excess_precip_max_60d_thresh_mag_above_1_std_lag_7d,0.501,0.501,1,0.045
climate_risk_drought_ma_7d_thresh_mag_above_1_std_lag_7d,0.501,0.501,1,0.047
climate_risk_coldwave_max_14d_thresh_mag_above_1_std_lag_7d,0.5,0.5,1,0.073
climate_risk_heat_stress_max_30d_ssqrt_above_1_std_lag_7d,0.5,0.5,1,0.062
climate_risk_drought_ma_120d_thresh_mag_above_2_std,0.626,0.781,10,0.964
climate_risk_unseasonably_cold_max_240d_sin_above_2_std,0.622,0.64,2,0.1
climate_risk_excess_precip_max_240d_ssqrt_above_2_std,0.616,0.798,55,2.451
climate_risk_excess_precip_max_240d_log1p_above_2_std,0.612,0.8,58,2.585
climate_risk_unseasonably_cold_max_240d_log1p_above_2_std,0.607,0.607,1,0.051
climate_risk_drought_ma_120d_log1p_above_2_std,0.603,0.751,40,1.796
climate_risk_drought_ma_120d_cos_above_2_std,0.603,0.804,65,2.897
climate_risk_drought_ma_120d_ssqrt_above_2_std,0.601,0.704,38,1.693
climate_risk_drought_ma_120d_sin_above_2_std,0.6,0.751,33,1.493
climate_risk_drought_ma_240d_log1p_above_2_std,0.594,0.727,46,2.05
climate_risk_excess_precip_max_240d_thresh_mag_above_2_std,0.591,0.688,35,1.56
climate_risk_drought_ma_240d_ssqrt_above_2_std,0.589,0.727,52,2.317
climate_risk_drought_ma_240d_cos_above_2_std,0.587,0.713,55,2.451
climate_risk_drought_ma_240d_sin_above_2_std,0.583,0.692,37,1.649
climate_risk_drought_max_120d_sin_above_2_std,0.577,0.577,1,0.045
climate_risk_coldwave_max_120d_sin_above_2_std,0.572,0.737,19,1.054
climate_risk_unseasonably_cold_max_120d_thresh_mag_above_2_std,0.571,0.607,4,0.253
climate_risk_excess_precip_ma_240d_ssqrt_above_2_std,0.565,0.664,55,2.451
climate_risk_unseasonably_cold_max_120d_ssqrt_above_2_std,0.564,0.566,2,0.115
climate_risk_drought_ma_240d_tangent_above_2_std,0.561,0.685,28,1.432
climate_risk_unseasonably_cold_max_120d_sin_above_2_std,0.56,0.64,5,0.283
climate_risk_drought_max_240d_thresh_mag_above_2_std,0.558,0.649,42,1.872
climate_risk_excess_precip_ma_120d_log1p_above_2_std,0.556,0.636,25,1.114
climate_risk_excess_precip_max_120d_sin_above_2_std,0.555,0.636,11,0.49
climate_risk_excess_precip_ma_240d_cos_above_2_std,0.552,0.602,26,1.159
climate_risk_drought_ma_120d_tangent_above_2_std,0.552,0.58,3,0.392
climate_risk_excess_precip_ma_120d_sin_above_2_std,0.551,0.626,26,1.159
climate_risk_excess_precip_max_120d_log1p_above_2_std,0.551,0.651,21,0.936
climate_risk_excess_precip_ma_120d_ssqrt_above_2_std,0.549,0.672,40,1.783
climate_risk_unseasonably_cold_max_240d_ssqrt_above_2_std,0.547,0.607,4,0.203
climate_risk_excess_precip_max_120d_ssqrt_above_2_std,0.547,0.629,15,0.668
climate_risk_unseasonably_cold_max_240d_thresh_mag_above_2_std,0.546,0.553,3,0.166
climate_risk_heat_stress_score_country_mean_thresh_mag_above_2_std,0.546,0.571,7,2.422
climate_risk_drought_max_120d_log1p_above_2_std,0.546,0.572,4,0.178
climate_risk_unseasonably_cold_max_120d_log1p_above_2_std,0.545,0.564,3,0.173
climate_risk_excess_precip_ma_240d_sin_above_2_std,0.545,0.609,23,1.025
climate_risk_excess_precip_ma_120d_cos_above_2_std,0.541,0.617,26,1.159
climate_risk_excess_precip_ma_240d_log1p_above_2_std,0.54,0.624,35,1.56
climate_risk_heat_stress_max_240d_ssqrt_above_2_std,0.54,0.584,4,0.203
climate_risk_excess_precip_max_120d_thresh_mag_above_2_std,0.539,0.539,1,0.045
climate_risk_heat_stress_max_240d_log1p_above_2_std,0.537,0.588,5,0.254
climate_risk_drought_max_240d_log1p_above_2_std,0.534,0.613,30,1.337
climate_risk_heat_stress_max_240d_thresh_mag_above_2_std,0.533,0.618,22,1.256
climate_risk_drought_max_240d_ssqrt_above_2_std,0.532,0.611,30,1.337
climate_risk_excess_precip_max_240d_sin_above_2_std,0.53,0.576,14,0.624
climate_risk_coldwave_max_240d_ssqrt_above_2_std,0.53,0.557,2,0.101
climate_risk_drought_max_120d_ssqrt_above_2_std,0.523,0.58,13,0.579
climate_risk_drought_max_240d_sin_above_2_std,0.521,0.521,1,0.045
climate_risk_excess_precip_ma_120d_tangent_above_2_std,0.52,0.52,1,0.047
climate_risk_unseasonably_cold_ma_120d_cos_above_2_std,0.519,0.533,2,0.1
climate_risk_heat_stress_score_country_mean_cos_above_2_std,0.519,0.529,8,0.574
climate_risk_coldwave_ma_120d_cos_above_2_std,0.515,0.529,6,0.289
climate_risk_coldwave_ma_240d_cos_above_2_std,0.513,0.518,3,0.137
climate_risk_drought_max_120d_thresh_mag_above_2_std,0.513,0.513,1,0.045
climate_risk_coldwave_max_120d_ssqrt_above_2_std,0.51,0.524,3,0.166
climate_risk_unseasonably_cold_ma_240d_ssqrt_above_2_std,0.509,0.509,1,0.078
climate_risk_heat_stress_score_country_mean_log1p_above_2_std,0.506,0.506,1,0.134
climate_risk_excess_precip_max_120d_cos_above_2_std,0.504,0.504,1,0.054
climate_risk_heat_stress_score_country_mean_ssqrt_above_2_std,0.502,0.502,1,0.103
climate_risk_excess_precip_max_240d_above_3_std,0.676,0.879,51,2.273
climate_risk_excess_precip_ma_30d_above_3_std,0.607,0.607,1,0.047
climate_risk_drought_score_country_max_thresh_mag_above_2_std,0.597,0.633,6,0.318
climate_risk_drought_max_240d_above_3_std,0.587,0.689,48,2.139
climate_risk_drought_ma_120d_above_3_std,0.586,0.745,24,1.295
climate_risk_excess_precip_score_country_max_cos_above_2_std,0.576,0.576,1,0.045
climate_risk_heat_stress_ma_90d_above_3_std,0.569,0.572,2,0.406
climate_risk_drought_ma_240d_above_3_std,0.567,0.683,25,1.246
climate_risk_excess_precip_weighted_score_country_sum_ssqrt_above_2_std,0.567,0.655,13,0.579
climate_risk_drought_ma_90d_above_3_std,0.566,0.725,27,1.498
climate_risk_excess_precip_weighted_score_country_sum_log1p_above_2_std,0.561,0.608,8,0.362
climate_risk_excess_precip_score_country_max_thresh_mag_above_2_std,0.559,0.628,8,0.373
climate_risk_drought_ma_30d_above_3_std,0.558,0.605,8,0.402
climate_risk_excess_precip_score_country_mean_sin_above_2_std,0.557,0.634,10,0.446
climate_risk_heat_stress_max_90d_above_3_std,0.555,0.612,28,2.534
climate_risk_excess_precip_weighted_score_country_sum_sin_above_2_std,0.552,0.594,8,0.362
climate_risk_excess_precip_weighted_score_country_sum_cos_above_2_std,0.55,0.632,24,1.07
climate_risk_excess_precip_score_country_std_sin_above_2_std,0.547,0.547,1,0.045
climate_risk_excess_precip_score_country_mean_log1p_above_2_std,0.546,0.632,12,0.535
climate_risk_drought_ma_60d_above_3_std,0.545,0.625,26,1.378
climate_risk_heat_stress_max_120d_above_3_std,0.544,0.566,12,0.967
climate_risk_drought_weighted_score_country_sum_log1p_above_2_std,0.544,0.572,6,0.304
climate_risk_excess_precip_score_country_mean_cos_above_2_std,0.544,0.613,7,0.312
climate_risk_drought_max_90d_above_3_std,0.542,0.565,6,0.271
climate_risk_drought_score_country_mean_ssqrt_above_2_std,0.537,0.569,5,0.223
climate_risk_drought_score_country_mean_log1p_above_2_std,0.537,0.577,7,0.324
climate_risk_excess_precip_score_country_std_ssqrt_above_2_std,0.536,0.536,1,0.045
climate_risk_drought_weighted_score_country_sum_ssqrt_above_2_std,0.536,0.595,8,0.368
climate_risk_drought_weighted_score_country_sum_sin_above_2_std,0.531,0.558,6,0.31
climate_risk_drought_score_country_mean_sin_above_2_std,0.531,0.567,8,0.373
climate_risk_drought_score_country_max_ssqrt_above_2_std,0.53,0.569,5,0.223
climate_risk_drought_score_country_max_sin_above_2_std,0.528,0.542,6,0.267
climate_risk_drought_max_120d_above_3_std,0.528,0.561,8,0.359
climate_risk_excess_precip_score_country_max_ssqrt_above_2_std,0.525,0.525,1,0.045
climate_risk_drought_score_country_mean_cos_above_2_std,0.524,0.563,22,0.98
climate_risk_drought_weighted_score_country_sum_cos_above_2_std,0.522,0.567,8,0.357
