climate_variable,avg_sig_corr,max_sig_corr,sig_corr_count,sig_corr_ratio(%)
climate_risk_excess_precip_max_14d_sin_above_1_std_lag_30d,0.538,0.56,6,0.267
climate_risk_unseasonably_cold_max_14d_ssqrt_above_1_std_lag_30d,0.536,0.555,3,0.194
climate_risk_unseasonably_cold_max_30d_thresh_mag_above_1_std_lag_30d,0.535,0.569,2,0.137
climate_risk_drought_max_7d_thresh_mag_above_1_std_lag_30d,0.533,0.551,7,0.317
climate_risk_unseasonably_cold_max_30d_cos_above_1_std_lag_30d,0.533,0.565,2,0.112
climate_risk_heat_stress_ma_14d_log1p_above_1_std_lag_30d,0.532,0.532,1,0.081
climate_risk_excess_precip_ma_14d_sin_above_1_std_lag_30d,0.532,0.54,8,0.357
climate_risk_unseasonably_cold_max_30d_ssqrt_above_1_std_lag_30d,0.53,0.577,4,0.25
climate_risk_unseasonably_cold_ma_14d_log1p_above_1_std_lag_30d,0.53,0.53,1,0.078
climate_risk_heat_stress_ma_14d_sin_above_1_std_lag_30d,0.53,0.53,1,0.083
climate_risk_unseasonably_cold_max_30d_log1p_above_1_std_lag_30d,0.529,0.595,9,0.582
climate_risk_coldwave_ma_14d_ssqrt_above_1_std_lag_30d,0.528,0.553,3,0.194
climate_risk_excess_precip_max_30d_ssqrt_above_1_std_lag_30d,0.528,0.577,11,0.49
climate_risk_heat_stress_ma_14d_ssqrt_above_1_std_lag_30d,0.528,0.546,4,0.287
climate_risk_unseasonably_cold_ma_14d_sin_above_1_std_lag_30d,0.528,0.528,1,0.079
climate_risk_unseasonably_cold_max_14d_cos_above_1_std_lag_30d,0.526,0.526,1,0.058
climate_risk_heat_stress_max_14d_log1p_above_1_std_lag_30d,0.525,0.533,3,0.208
climate_risk_drought_ma_14d_thresh_mag_above_1_std_lag_30d,0.525,0.538,2,0.094
climate_risk_excess_precip_max_30d_thresh_mag_above_1_std_lag_30d,0.524,0.524,1,0.045
climate_risk_excess_precip_ma_14d_ssqrt_above_1_std_lag_30d,0.524,0.541,12,0.535
climate_risk_drought_ma_7d_sin_above_1_std_lag_30d,0.523,0.539,4,0.178
climate_risk_excess_precip_ma_30d_cos_above_1_std_lag_30d,0.522,0.556,9,0.401
climate_risk_drought_ma_7d_log1p_above_1_std_lag_30d,0.521,0.536,3,0.134
climate_risk_unseasonably_cold_ma_30d_sin_above_1_std_lag_30d,0.521,0.53,2,0.176
climate_risk_drought_max_7d_log1p_above_1_std_lag_30d,0.52,0.534,2,0.089
climate_risk_coldwave_max_7d_ssqrt_above_1_std_lag_30d,0.519,0.537,2,0.118
climate_risk_heat_stress_max_14d_ssqrt_above_1_std_lag_30d,0.519,0.52,2,0.125
climate_risk_unseasonably_cold_ma_30d_ssqrt_above_1_std_lag_30d,0.519,0.519,1,0.072
climate_risk_unseasonably_cold_ma_30d_log1p_above_1_std_lag_30d,0.517,0.529,2,0.176
climate_risk_unseasonably_cold_ma_30d_cos_above_1_std_lag_30d,0.516,0.516,1,0.056
climate_risk_drought_ma_7d_thresh_mag_above_1_std_lag_30d,0.516,0.535,4,0.185
climate_risk_unseasonably_cold_max_30d_sin_above_1_std_lag_30d,0.516,0.522,3,0.188
climate_risk_coldwave_ma_7d_ssqrt_above_1_std_lag_30d,0.512,0.512,1,0.062
climate_risk_excess_precip_ma_7d_log1p_above_1_std_lag_30d,0.509,0.509,1,0.045
climate_risk_excess_precip_ma_7d_sin_above_1_std_lag_30d,0.507,0.507,1,0.045
climate_risk_drought_ma_7d_ssqrt_above_1_std_lag_30d,0.506,0.507,2,0.089
climate_risk_excess_precip_ma_7d_ssqrt_above_1_std_lag_30d,0.503,0.503,1,0.045
climate_risk_heat_stress_max_14d_cos_above_1_std_lag_30d,0.502,0.503,2,0.125
climate_risk_drought_ma_14d_lag_7d,0.613,0.68,22,0.98
climate_risk_drought_ma_60d_lag_7d,0.596,0.734,57,2.54
climate_risk_drought_ma_30d_lag_7d,0.593,0.72,44,1.961
climate_risk_heat_stress_ma_60d_lag_7d,0.576,0.621,5,0.286
climate_risk_coldwave_max_60d_lag_7d,0.575,0.695,25,1.225
climate_risk_coldwave_max_30d_lag_7d,0.573,0.614,5,0.256
climate_risk_drought_max_14d_lag_7d,0.572,0.671,17,0.758
climate_risk_drought_ma_7d_lag_7d,0.56,0.611,18,0.802
climate_risk_excess_precip_max_7d_lag_7d,0.555,0.555,1,0.045
climate_risk_excess_precip_ma_60d_lag_7d,0.552,0.648,44,1.961
climate_risk_excess_precip_score_country_max_ssqrt_above_3_std,0.551,0.667,7,0.361
climate_risk_excess_precip_weighted_score_country_sum_cos_above_3_std,0.55,0.632,24,1.07
climate_risk_coldwave_ma_60d_lag_7d,0.549,0.642,13,0.637
climate_risk_heat_stress_score_country_mean_thresh_mag_above_3_std,0.546,0.571,7,2.422
climate_risk_drought_max_7d_lag_7d,0.544,0.642,15,0.668
climate_risk_excess_precip_score_country_mean_cos_above_3_std,0.544,0.613,7,0.312
climate_risk_drought_max_30d_lag_7d,0.544,0.684,18,0.802
climate_risk_coldwave_ma_30d_lag_7d,0.544,0.564,4,0.205
climate_risk_excess_precip_max_30d_lag_7d,0.54,0.579,14,0.624
climate_risk_excess_precip_score_country_mean_sin_above_3_std,0.536,0.558,3,0.153
climate_risk_excess_precip_score_country_mean_log1p_above_3_std,0.536,0.558,3,0.153
climate_risk_excess_precip_score_country_max_log1p_above_3_std,0.533,0.546,2,0.125
climate_risk_heat_stress_max_60d_lag_7d,0.532,0.551,2,0.114
climate_risk_drought_max_60d_lag_7d,0.532,0.566,10,0.446
climate_risk_unseasonably_cold_max_60d_lag_7d,0.532,0.544,3,0.156
climate_risk_drought_score_country_mean_log1p_above_3_std,0.531,0.554,5,0.277
climate_risk_drought_score_country_mean_sin_above_3_std,0.531,0.554,5,0.277
climate_risk_excess_precip_max_60d_lag_7d,0.53,0.595,20,0.891
climate_risk_excess_precip_score_country_mean_ssqrt_above_3_std,0.529,0.596,6,0.285
climate_risk_excess_precip_ma_7d_lag_7d,0.529,0.529,1,0.045
climate_risk_excess_precip_weighted_score_country_sum_ssqrt_above_3_std,0.529,0.566,6,0.339
climate_risk_excess_precip_ma_30d_lag_7d,0.528,0.573,27,1.203
climate_risk_excess_precip_max_14d_lag_7d,0.528,0.541,4,0.178
climate_risk_drought_score_country_std_tangent_above_3_std,0.528,0.528,1,0.053
climate_risk_drought_score_country_max_log1p_above_3_std,0.527,0.553,12,0.574
climate_risk_excess_precip_weighted_score_country_sum_sin_above_3_std,0.526,0.544,3,0.19
climate_risk_excess_precip_weighted_score_country_sum_log1p_above_3_std,0.525,0.543,3,0.194
climate_risk_drought_weighted_score_country_sum_sin_above_3_std,0.524,0.524,1,0.078
climate_risk_drought_weighted_score_country_sum_cos_above_3_std,0.524,0.567,4,0.178
climate_risk_drought_weighted_score_country_sum_ssqrt_above_3_std,0.523,0.549,4,0.218
climate_risk_drought_score_country_mean_ssqrt_above_3_std,0.523,0.588,12,0.574
climate_risk_excess_precip_ma_14d_lag_7d,0.522,0.533,6,0.267
climate_risk_unseasonably_cold_ma_60d_lag_7d,0.521,0.527,3,0.156
climate_risk_drought_score_country_mean_cos_above_3_std,0.52,0.566,17,0.758
climate_risk_heat_stress_score_country_mean_cos_above_3_std,0.518,0.528,7,0.502
climate_risk_excess_precip_score_country_std_ssqrt_above_3_std,0.517,0.532,2,0.092
climate_risk_heat_stress_weighted_score_country_sum_cos_above_3_std,0.515,0.523,7,0.502
climate_risk_drought_weighted_score_country_sum_log1p_above_3_std,0.514,0.514,1,0.079
climate_risk_drought_score_lag_7d,0.514,0.519,2,0.089
climate_risk_coldwave_score_country_mean_cos_above_3_std,0.507,0.509,2,0.115
climate_risk_excess_precip_score_country_std_cos_above_3_std,0.507,0.51,2,0.089
climate_risk_unseasonably_cold_score_country_mean_cos_above_3_std,0.506,0.51,2,0.129
climate_risk_coldwave_score_country_std_cos_above_3_std,0.506,0.506,1,0.058
climate_risk_drought_score_country_std_sin_above_3_std,0.505,0.505,1,0.048
climate_risk_unseasonably_cold_score_country_std_cos_above_3_std,0.505,0.505,1,0.065
climate_risk_unseasonably_cold_max_30d_lag_7d,0.505,0.511,2,0.111
climate_risk_excess_precip_score_lag_7d,0.504,0.504,1,0.045
climate_risk_drought_score_country_max_sin_above_3_std,0.503,0.503,1,0.045
climate_risk_excess_precip_max_240d_log1p_above_1_std,0.613,0.8,57,2.54
climate_risk_excess_precip_max_240d_ssqrt_above_1_std,0.61,0.798,58,2.585
climate_risk_drought_ma_240d_tangent_above_1_std,0.596,0.755,55,2.451
climate_risk_excess_precip_max_240d_thresh_mag_above_1_std,0.59,0.745,64,2.852
climate_risk_drought_ma_240d_ssqrt_above_1_std,0.589,0.727,54,2.406
climate_risk_drought_ma_240d_log1p_above_1_std,0.587,0.723,53,2.362
climate_risk_drought_ma_240d_cos_above_1_std,0.587,0.713,55,2.451
climate_risk_drought_ma_240d_sin_above_1_std,0.585,0.705,52,2.317
climate_risk_unseasonably_cold_max_240d_sin_above_1_std,0.585,0.64,3,0.148
climate_risk_coldwave_max_120d_thresh_mag_above_1_std,0.576,0.73,14,0.777
climate_risk_coldwave_max_120d_cos_above_1_std,0.559,0.733,24,1.228
climate_risk_excess_precip_ma_240d_log1p_above_1_std,0.556,0.644,81,3.61
climate_risk_excess_precip_ma_240d_ssqrt_above_1_std,0.555,0.655,72,3.209
climate_risk_coldwave_max_120d_log1p_above_1_std,0.555,0.588,3,0.148
climate_risk_excess_precip_ma_240d_sin_above_1_std,0.554,0.648,72,3.209
climate_risk_excess_precip_ma_240d_cos_above_1_std,0.552,0.602,26,1.159
climate_risk_coldwave_ma_240d_ssqrt_above_1_std,0.55,0.567,4,0.248
